RegionName,State,Metro,avg_rent
Sagaponack,NY,"New York-Newark-Jersey City, NY-NJ-PA",102564.54777143651
Bridgehampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",76652.70062952329
Water Mill,NY,"New York-Newark-Jersey City, NY-NJ-PA",66550.21129840772
Westhampton Beach,NY,"New York-Newark-Jersey City, NY-NJ-PA",49361.363662650336
Westhampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",43333.333333333336
Sag Harbor,NY,"New York-Newark-Jersey City, NY-NJ-PA",40788.87428201789
Southampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",38889.58271941895
Aspen,CO,"Glenwood Springs, CO",35000.0
East Hampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",31844.576596139468
Montauk,NY,"New York-Newark-Jersey City, NY-NJ-PA",25754.77884047844
Oakhurst,NJ,"New York-Newark-Jersey City, NY-NJ-PA",20775.70002440868
Montecito,CA,"Santa Maria-Santa Barbara, CA",17049.264187717625
Hampton Bays,NY,"New York-Newark-Jersey City, NY-NJ-PA",15466.180497130948
Malibu,CA,"Los Angeles-Long Beach-Anaheim, CA",12081.259384946628
Avon by the Sea,NJ,"New York-Newark-Jersey City, NY-NJ-PA",12000.0
Palm Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",8670.26748105007
Rancho Santa Fe,CA,"San Diego-Chula Vista-Carlsbad, CA",8370.64473140515
Palos Verdes Estates,CA,"Los Angeles-Long Beach-Anaheim, CA",8222.57100328111
Spring Lake,NJ,"New York-Newark-Jersey City, NY-NJ-PA",7085.930695507933
Southold,NY,"New York-Newark-Jersey City, NY-NJ-PA",7000.0
San Marino,CA,"Los Angeles-Long Beach-Anaheim, CA",6988.251325476253
Los Altos,CA,"San Jose-Sunnyvale-Santa Clara, CA",6654.958383217901
New Canaan,CT,"Bridgeport-Stamford-Norwalk, CT",6551.70362177497
Rye,NY,"New York-Newark-Jersey City, NY-NJ-PA",6387.5
Key Biscayne,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",6303.052064047471
Jackson,WY,"Jackson, WY-ID",6258.361006930736
Bal Harbour,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",6252.8265322506095
Monmouth Beach,NJ,"New York-Newark-Jersey City, NY-NJ-PA",6000.0
Parkland,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",5670.171562464218
Del Mar,CA,"San Diego-Chula Vista-Carlsbad, CA",5546.05834006107
Siesta Key,FL,"North Port-Sarasota-Bradenton, FL",5429.781274728079
Truckee,CA,"Truckee-Grass Valley, CA",5376.918957074344
Highland Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",5354.193771622752
Manasquan,NJ,"New York-Newark-Jersey City, NY-NJ-PA",5320.867014663747
